map_a,map_b,bit_agreement,descriptor_nc,identity_permutation_logo_nc
H51-AANP,H51-AGNP,0.998046875,0.9980468749999998,0.9984126984126986
H51-AANP,H51-BOUA,0.255859375,0.25585937499999994,0.2924988129130708
H51-AANP,H51-BOUL,0.609375,0.6093749999999999,0.6586011120296266
H51-AANP,H51-BOUP,0.984375,0.9843749999999998,0.9872826467470138
H51-AANP,H51-BRGA,0.646484375,0.6464843749999999,0.6948190043266296
H51-AANP,H51-BRGL,0.64453125,0.6445312499999999,0.6909361114969227
H51-AANP,H51-BRGP,1.0,0.9999999999999998,1.0000000000000002
H51-AANP,H51-CPTL,0.63671875,0.6367187499999999,0.685874240313531
H51-AANP,H51-HFCA,0.685546875,0.6855468749999999,0.7314365571442931
H51-AANP,H51-HFCL,0.6484375,0.6484374999999999,0.6939368534969832
H51-AANP,H51-HFCP,0.98046875,0.9804687499999998,0.9840314895115047
H51-AANP,H51-HYDA,0.212890625,0.21289062499999994,0.24535664332172594
H51-AANP,H51-HYDL,0.6640625,0.6640624999999999,0.7080809281593774
H51-AANP,H51-HYDP,0.998046875,0.9980468749999998,0.9984126984126986
H51-AANP,H51-LFCL,0.68359375,0.6835937499999999,0.7244850469637767
H51-AANP,H51-LFCP,0.994140625,0.9941406249999998,0.9952317823890993
H51-AANP,H51-LRDL,0.6328125,0.6328124999999999,0.6779372875487569
H51-AANP,H51-LRRL,0.537109375,0.5371093749999999,0.5880865022485927
H51-AANP,H51-RESA,0.673828125,0.6738281249999999,0.7201790785749369
H51-AANP,H51-RESP,0.998046875,0.9980468749999998,0.9984126984126986
H51-AANP,H51-RFCA,0.720703125,0.7207031249999999,0.7626205388834794
H51-AANP,H51-RFCP,0.998046875,0.9980468749999998,0.9984114366459335
H51-AANP,H51-TERL,0.322265625,0.32226562499999994,0.3720130442072855
H51-AANP,H51-TERP,0.998046875,0.9980468749999998,0.9984114366459335
H51-AANP,H51-VEGA,0.390625,0.3906249999999999,0.43918934583488756
H51-AANP,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.69921875,0.6992187499999999,0.7379090993420947
H51-AANP,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.703125,0.7031249999999999,0.7413572727035064
H51-AANP,tianjin-latest-free.shp-gis_osm_natural_free_1,1.0,0.9999999999999998,1.0000000000000002
H51-AANP,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.716796875,0.7167968749999999,0.7546901321548837
H51-AANP,tianjin-latest-free.shp-gis_osm_places_free_1,0.994140625,0.9941406249999998,0.9952317823890993
H51-AANP,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.71484375,0.7148437499999999,0.7526574514817594
