claimed_map,query_map,recovered_logo_nc,accept_at_nominal_0_90
H51-AANP,H51-AGNP,0.9984126984126986,1
H51-AANP,H51-BOUA,0.29983373207732533,0
H51-AANP,H51-BOUL,0.6620473436277011,0
H51-AANP,H51-BOUP,0.9872661531332735,1
H51-AANP,H51-BRGA,0.6974445166940353,0
H51-AANP,H51-BRGL,0.6935591320220839,0
H51-AANP,H51-BRGP,1.0000000000000002,1
H51-AANP,H51-CPTL,0.6881336394814386,0
H51-AANP,H51-HFCA,0.7337375629525028,0
H51-AANP,H51-HFCL,0.698688843315279,0
H51-AANP,H51-HFCP,0.9840198491090993,1
H51-AANP,H51-HYDA,0.2559939058231545,0
H51-AANP,H51-HYDL,0.7088892200034936,0
H51-AANP,H51-HYDP,0.9984126984126986,1
H51-AANP,H51-LFCL,0.727852366675554,0
H51-AANP,H51-LFCP,0.9952317823890993,1
H51-AANP,H51-LRDL,0.6829272365264183,0
H51-AANP,H51-LRRL,0.5911452060408411,0
H51-AANP,H51-RESA,0.7213709164496468,0
H51-AANP,H51-RESP,0.9984126984126986,1
H51-AANP,H51-RFCA,0.761306906174453,0
H51-AANP,H51-RFCP,0.9984114366459335,1
H51-AANP,H51-TERL,0.3688602140193883,0
H51-AANP,H51-TERP,0.9984114366459335,1
H51-AANP,H51-VEGA,0.4445766998987763,0
H51-AANP,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.7406872515560158,0
H51-AANP,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.7447791659005668,0
H51-AANP,tianjin-latest-free.shp-gis_osm_natural_free_1,1.0000000000000002,1
H51-AANP,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.7563016451878958,0
H51-AANP,tianjin-latest-free.shp-gis_osm_places_free_1,0.9952317823890993,1
H51-AANP,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.7552658577812936,0
H51-AANP,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.9872661531332735,1
H51-AANP,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.7461271835934398,0
H51-AANP,tianjin-latest-free.shp-gis_osm_pois_free_1,0.9952317823890993,1
