Label,Proposed,Tan24,Wu25,Xi24,Xi25,Lin18
强度: 0-10%,1.0,0.649091,0.986569,0.592529,0.517544,0.551401
强度: 0-20%,1.0,0.642,0.987365,0.638184,0.520178,0.546644
强度: 0-30%,1.0,0.634852,0.987365,0.46224,0.521029,0.547455
强度: 0-40%,1.0,0.631351,0.908903,0.464518,0.523286,0.558925
强度: 0-50%,1.0,0.630269,0.906688,0.44043,0.527133,0.551217
强度: 0-60%,1.0,0.63011,0.987365,0.44043,0.523833,0.549019
强度: 0-70%,1.0,0.622224,0.987365,0.44043,0.519823,0.554273
强度: 0-80%,1.0,0.622371,0.987266,0.425781,0.523406,0.55564
强度: 0-90%,1.0,0.622371,0.987266,0.425781,0.523406,0.55564
强度: 1-10%,0.837487,0.649091,0.655631,0.47168,0.547746,0.528574
强度: 1-20%,0.851744,0.641762,0.65557,0.474609,0.553542,0.561395
强度: 1-30%,0.846331,0.631841,0.662036,0.464844,0.555967,0.554868
强度: 1-40%,0.834409,0.631114,0.652604,0.462891,0.556906,0.550364
强度: 1-50%,0.797603,0.630269,0.657462,0.471354,0.554502,0.557384
强度: 1-60%,0.830746,0.63011,0.652055,0.469238,0.542288,0.549678
强度: 1-70%,0.811577,0.622224,0.65617,0.472819,0.559752,0.545603
强度: 1-80%,0.849347,0.622371,0.660809,0.463379,0.549539,0.565761
强度: 1-90%,0.843392,0.622371,0.664052,0.463216,0.562313,0.560138
强度: 2-10%,0.810167,0.649091,0.659029,0.471517,0.556716,0.570539
强度: 2-20%,0.830323,0.638989,0.66263,0.46582,0.5593,0.545659
强度: 2-30%,0.784354,0.631841,0.658667,0.457031,0.559113,0.553195
强度: 2-40%,0.820718,0.628769,0.651506,0.466471,0.557196,0.564741
强度: 2-50%,0.822273,0.630269,0.650771,0.468424,0.55644,0.557996
强度: 2-60%,0.790138,0.63011,0.659223,0.467611,0.554437,0.553636
强度: 2-70%,0.766084,0.622224,0.664876,0.468262,0.559289,0.546856
强度: 2-80%,0.833607,0.622371,0.660809,0.456543,0.54853,0.572931
强度: 2-90%,0.826045,0.622371,0.656219,0.464681,0.56499,0.550682
